SWIR PFM TEST   Pixel #1023
      Band #4         Band #5         Band #6         Band #7         Band #8         Band #9      
   Wavlen  Norm    Wavlen  Norm    Wavlen  Norm    Wavlen  Norm    Wavlen  Norm    Wavlen  Norm
    (um)   Resp     (um)   Resp     (um)   Resp     (um)   Resp     (um)   Resp     (um)   Resp
   2.6320 0.0000   2.8720 0.0000   3.0160 0.0000   2.8720 0.0000   2.9200 0.0000   2.9680 0.0000
   2.6800 0.0000   2.9200 0.0000   3.0640 0.0000   2.9200 0.0000   2.9680 0.0000   3.0160 0.0000
   2.7280 0.0000   2.9680 0.0000   3.1120 0.0001   2.9680 0.0000   3.0160 0.0000   3.0640 0.0000
   2.7760 0.0000   3.0160 0.0000   3.1600 0.0001   3.0160 0.0000   3.0640 0.0001   3.1120 0.0001
   2.8240 0.0000   3.0640 0.0000   3.2080 0.0000   3.0640 0.0000   3.1120 0.0001   3.1600 0.0002
   2.8720 0.0000   3.1120 0.0000   3.2560 0.0000   3.1120 0.0000   3.1600 0.0001   3.2080 0.0002
   2.9200 0.0000   3.1600 0.0000   3.3040 0.0000   3.1600 0.0000   3.2080 0.0002   3.2560 0.0007
   2.9680 0.0000   3.2080 0.0000   3.3520 0.0000   3.2080 0.0000   3.2560 0.0002   3.3040 0.0010
   3.0160 0.0000   3.2560 0.0000   3.4000 0.0000   3.2560 0.0000   3.3040 0.0015   3.3520 0.0000
   3.0640 0.0000   3.3040 0.0000   3.4480 0.0000   3.3040 0.0000   3.3520 0.0000   3.4000 0.0000
   3.1120 0.0000   3.3520 0.0000   3.4960 0.0000   3.3520 0.0000   3.4000 0.0000   3.4480 0.0000
   3.1600 0.0000   3.4000 0.0000   3.5440 0.0000   3.4000 0.0000   3.4480 0.0000   3.4960 0.0000
   3.2080 0.0000   3.4480 0.0000   3.5920 0.0000   3.4480 0.0000   3.4960 0.0000   3.5440 0.0000
   3.2560 0.0000   3.4960 0.0000   3.6400 0.0000   3.4960 0.0000   3.5440 0.0000   3.5920 0.0000
   3.3040 0.0000   3.5440 0.0000   3.6880 0.0000   3.5440 0.0000   3.5920 0.0000   3.6400 0.0000
   3.3520 0.0000   3.5920 0.0000   3.7360 0.0000   3.5920 0.0000   3.6400 0.0000   3.6880 0.0000
   3.4000 0.0000   3.6400 0.0000   3.7840 0.0000   3.6400 0.0000   3.6880 0.0000   3.7360 0.0000
   3.4480 0.0000   3.6880 0.0000   3.8320 0.0000   3.6880 0.0000   3.7360 0.0000   3.7840 0.0000
   3.4960 0.0000   3.7360 0.0000   3.8800 0.0000   3.7360 0.0000   3.7840 0.0000   3.8320 0.0000
   3.5440 0.0000   3.7840 0.0000   3.9280 0.0000   3.7840 0.0000   3.8320 0.0000   3.8800 0.0000
   3.5920 0.0000   3.8320 0.0000   3.9760 0.0000   3.8320 0.0000   3.8800 0.0000   3.9280 0.0000
   3.6400 0.0000   3.8800 0.0000   4.0240 0.0000   3.8800 0.0000   3.9280 0.0000   3.9760 0.0000
   3.6880 0.0000   3.9280 0.0000   4.0720 0.0000   3.9280 0.0000   3.9760 0.0000   4.0240 0.0000
   3.7360 0.0000   3.9760 0.0000   4.1200 0.0000   3.9760 0.0000   4.0240 0.0000   4.0720 0.0000
   3.7840 0.0000   4.0240 0.0000   4.1680 0.0000   4.0240 0.0000   4.0720 0.0000   4.1200 0.0000
   3.8320 0.0000   4.0720 0.0000   4.2160 0.0000   4.0720 0.0000   4.1200 0.0000   4.1680 0.0000
   3.8800 0.0000   4.1200 0.0000   4.2640 0.0000   4.1200 0.0000   4.1680 0.0000   4.2160 0.0000
   3.9280 0.0000   4.1680 0.0000   4.3120 0.0000   4.1680 0.0000   4.2160 0.0000   4.2640 0.0000
   3.9760 0.0000   4.2160 0.0000   4.3600 0.0000   4.2160 0.0000   4.2640 0.0000   4.3120 0.0000
   4.0240 0.0000   4.2640 0.0000   4.4080 0.0000   4.2640 0.0000   4.3120 0.0000   4.3600 0.0000
   4.0720 0.0000   4.3120 0.0000   4.4560 0.0000   4.3120 0.0000   4.3600 0.0000   4.4080 0.0000
   4.1200 0.0000   4.3600 0.0000   4.5040 0.0000   4.3600 0.0000   4.4080 0.0000   4.4560 0.0000
   4.1680 0.0000   4.4080 0.0000   4.5520 0.0000   4.4080 0.0000   4.4560 0.0000   4.5040 0.0000
   4.2160 0.0000   4.4560 0.0000   4.6000 0.0000   4.4560 0.0000   4.5040 0.0000   4.5520 0.0000
   4.2640 0.0000   4.5040 0.0000   4.6480 0.0000   4.5040 0.0000   4.5520 0.0000   4.6000 0.0000
   4.3120 0.0000   4.5520 0.0000   4.6960 0.0000   4.5520 0.0000   4.6000 0.0000   4.6480 0.0000
   4.3600 0.0000   4.6000 0.0000   4.7440 0.0000   4.6000 0.0000   4.6480 0.0000   4.6960 0.0000
   4.4080 0.0000   4.6480 0.0000   4.7920 0.0000   4.6480 0.0000   4.6960 0.0000   4.7440 0.0000
