%DAWG J2 VIIRS RSR Release V2 Band M13 with CO2 Correction
%Based upon CO2 Corrected (UW) VCST August 7, 2018 RSR Analysis (using CO2-interpolated RSO)
%Using J2 VIIRS FP-15,-16 RSR Measurements at Raytheon El Segundo, May - October 2017
%Detector numbering given in "Sensor" order (1st detector in along track direction is assigned #1)
%Bnd    det    SS         wvl_nm             RSR              SNR     SNR_Thresh  QF      UAID
M13      1     0      2850.0000000       -0.0000002        0.0092369     0.050     1     4402753
M13      1     0      2866.0050000       -0.0000001        0.0036437     0.050     1     4402753
M13      1     0      2882.0000000       -0.0000002        0.0052183     0.050     1     4402753
M13      1     0      2898.0000000        0.0000005        0.0061333     0.050     1     4402753
M13      1     0      2914.0000000        0.0000005        0.0070348     0.050     1     4402753
M13      1     0      2930.0100000       -0.0000003        0.0083613     0.050     1     4402753
M13      1     0      2975.9650000        0.0000004        0.0320805     0.050     1     4402754
M13      1     0      3038.0200000        0.0000003        0.0116998     0.050     1     4402754
M13      1     0      3099.9950000        0.0000002        0.0082706     0.050     1     4402754
M13      1     0      3162.0750000        0.0000000        0.0009102     0.050     1     4402754
M13      1     0      3224.0200000        0.0000006        0.0141693     0.050     1     4402754
M13      1     0      3285.9550000        0.0000001        0.0267027     0.050     1     4402754
M13      1     0      3348.0650000        0.0000001        0.0038706     0.050     1     4402754
M13      1     0      3409.9750000        0.0000003        0.0231357     0.050     1     4402754
M13      1     0      3472.0650000        0.0000000        0.0258705     0.050     1     4402754
M13      1     0      3534.0300000        0.0000008        0.0706801     0.050     0     4402754
M13      1     0      3595.9500000        0.0000065        0.5822183     0.050     0     4402754
M13      1     0      3657.9750000        0.0000195        1.8045456     0.050     0     4402754
M13      1     0      3719.9700000        0.0000704        6.1347475     0.050     0     4402754
M13      1     0      3782.0300000        0.0004084        2.6621747     0.050     0     4402755
M13      1     0      3813.0000000        0.0012089       83.1444550     0.050     0     4402755
M13      1     0      3835.1750000        0.0024352        4.7735534     0.050     0     4402743
M13      1     0      3842.8250000        0.0034615        6.7928843     0.050     0     4402743
M13      1     0      3850.4500000        0.0050443        9.8991690     0.050     0     4402743
M13      1     0      3858.0500000        0.0073504       14.2195187     0.050     0     4402743
M13      1     0      3865.5300000        0.0106357       20.3181896     0.050     0     4402743
M13      1     0      3873.2100000        0.0158118       29.6367626     0.050     0     4402743
M13      1     0      3880.7800000        0.0240209       44.2401581     0.050     0     4402743
M13      1     0      3888.3550000        0.0376982       65.5606461     0.050     0     4402743
M13      1     0      3895.9400000        0.0577014       94.9685211     0.050     0     4402743
M13      1     0      3903.5400000        0.0899252      138.8277435     0.050     0     4402743
M13      1     0      3911.1650000        0.1307691      184.7197571     0.050     0     4402743
M13      1     0      3918.8200000        0.2059415      253.2766876     0.050     0     4402743
M13      1     0      3926.3950000        0.3029906      317.1204224     0.050     0     4402743
M13      1     0      3934.0000000        0.4169884      335.4822693     0.050     0     4402743
M13      1     0      3941.6400000        0.5475010      383.3473816     0.050     0     4402743
M13      1     0      3949.1900000        0.6544470      419.9352112     0.050     0     4402743
M13      1     0      3956.7750000        0.7715672      544.9594116     0.050     0     4402743
M13      1     0      3964.3750000        0.8500081      439.3190308     0.050     0     4402743
M13      1     0      3971.9900000        0.9234169      480.3580627     0.050     0     4402743
M13      1     0      3979.6100000        0.9423415      524.4462280     0.050     0     4402743
M13      1     0      3987.2350000        0.9818478      512.4960938     0.050     0     4402743
M13      1     0      3994.8550000        0.9554339      448.0246582     0.050     0     4402743
M13      1     0      4002.3500000        0.9262038      408.7054749     0.050     0     4402743
M13      1     0      4009.9350000        0.9153677      467.0743103     0.050     0     4402743
M13      1     0      4017.5000000        0.9004681      551.3842163     0.050     0     4402743
M13      1     0      4025.2550000        0.9137671      451.3810425     0.050     0     4402743
M13      1     0      4032.7600000        0.8921604      482.3562927     0.050     0     4402743
M13      1     0      4040.3450000        0.9199969      519.0913086     0.050     0     4402743
M13      1     0      4048.0000000        0.9269376      399.3785706     0.050     0     4402743
M13      1     0      4055.6300000        0.9637759      566.0418091     0.050     0     4402743
M13      1     0      4063.2250000        1.0000000      484.0887451     0.050     0     4402743
M13      1     0      4070.7950000        0.9690804      387.1259460     0.050     0     4402743
M13      1     0      4078.4500000        0.8505820      488.0666809     0.050     0     4402743
M13      1     0      4085.9850000        0.6985818      444.6296387     0.050     0     4402743
M13      1     0      4093.6200000        0.4869023      395.3517761     0.050     0     4402743
M13      1     0      4101.1500000        0.3211938      343.2370300     0.050     0     4402743
M13      1     0      4108.7950000        0.2028229      283.8669739     0.050     0     4402743
M13      1     0      4116.4500000        0.1294657      236.1949921     0.050     0     4402743
M13      1     0      4124.0250000        0.0847556      164.3718872     0.050     0     4402743
M13      1     0      4131.6250000        0.0537728      117.5192795     0.050     0     4402743
M13      1     0      4139.1450000        0.0375543       83.8571625     0.050     0     4402743
M13      1     0      4146.8100000        0.0250303       55.5779724     0.050     0     4402743
M13      1     0      4154.3950000        0.0175560       39.6515846     0.050     0     4402743
M13      1     0      4162.0050000        0.0125974       28.1482506     0.050     0     4402743
M13      1     0      4169.5400000        0.0090471       19.9238167     0.050     0     4402743
M13      1     0      4177.2050000        0.0064969       14.6198225     0.050     0     4402743
M13      1     0      4184.8850000        0.0049118       10.5293579     0.050     0     4402743
M13      1     0      4192.3550000        0.0036334        7.2118220     0.050     0     4402743
M13      1     0      4199.9400000        0.0028068        4.2826791     0.050     0     4402743
M13      1     0      4207.6400000        0.0023267        1.9259737     0.050     0     4402743
M13      1     0      4246.9300000        0.0003400        1.6957245     0.050     0     4402755
M13      1     0      4278.0100000        0.0002096        1.1492140     0.050     0     4402755
M13      1     0      4308.9850000        0.0000764        0.9981032     0.050     0     4402755
M13      1     0      4339.9600000        0.0000571        1.9587986     0.050     0     4402755
M13      1     0      4401.9850000        0.0000225        1.4048638     0.050     0     4402756
M13      1     0      4464.0050000        0.0000082        0.5501083     0.050     0     4402756
M13      1     0      4525.9750000        0.0000026        0.1863003     0.050     0     4402756
M13      1     0      4587.9600000        0.0000006        0.0355018     0.050     1     4402756
M13      1     0      4649.9750000       -0.0000001        0.0146162     0.050     1     4402756
M13      1     0      4712.0600000        0.0000005        0.0091129     0.050     1     4402756
M13      1     0      4773.9650000        0.0000000        0.0041862     0.050     1     4402756
M13      1     0      4836.0500000        0.0000000       -0.0070776     0.050     1     4402756
M13      1     0      4897.9600000        0.0000001        0.0151188     0.050     1     4402756
M13      1     0      4959.9700000       -0.0000001        0.0013361     0.050     1     4402756
M13      1     0      5021.9150000        0.0000000        0.0101188     0.050     1     4402756
M13      1     0      5084.0200000        0.0000002       -0.0019357     0.050     1     4402756
M13      1     0      5146.0600000        0.0000003        0.0108024     0.050     1     4402756
M13      1     0      5208.0300000        0.0000003        0.0084486     0.050     1     4402756
M13      1     0      5270.0100000        0.0000004        0.0195216     0.050     1     4402756
M13      1     0      5331.9650000        0.0000002        0.0078742     0.050     1     4402756
M13      1     0      5394.0400000        0.0000003        0.0074314     0.050     1     4402756
M13      1     0      5455.9850000        0.0000002        0.0078889     0.050     1     4402756
M13      1     0      5471.0550000        0.0000003        0.0105835     0.050     1     4402757
M13      1     0      5536.0500000        0.0000001        0.0204654     0.050     1     4402757
M13      1     0      5600.9300000        0.0000000        0.0118922     0.050     1     4402757
M13      1     0      5666.0050000       -0.0000003        0.0201991     0.050     1     4402757
M13      1     0      5730.9750000        0.0000000       -0.0001830     0.050     1     4402757
M13      1     0      5795.9550000        0.0000004        0.0121427     0.050     1     4402757
M13      1     0      5861.0700000        0.0000001        0.0048912     0.050     1     4402757
M13      1     0      5925.9250000       -0.0000002        0.0057878     0.050     1     4402757
M13      1     0      5990.9950000        0.0000002        0.0032602     0.050     1     4402757
M13      1     0      6055.9550000        0.0000002        0.0109691     0.050     1     4402757
M13      1     0      6120.9950000        0.0000002       -0.0038829     0.050     1     4402757
M13      1     0      6186.0000000        0.0000000        0.0031357     0.050     1     4402757
M13      1     0      6250.9900000        0.0000002       -0.0099828     0.050     1     4402757
M13      1     0      6316.0250000        0.0000001        0.0047037     0.050     1     4402757
M13      1     0      6381.0050000       -0.0000001        0.0160210     0.050     1     4402757
M13      1     0      6445.9750000        0.0000003        0.0228106     0.050     1     4402757
M13      1     0      6511.0900000        0.0000001        0.0003198     0.050     1     4402757
M13      1     0      6575.9650000        0.0000001        0.0073740     0.050     1     4402757
M13      1     0      6640.9500000        0.0000000        0.0067625     0.050     1     4402757
M13      1     0      6705.9750000        0.0000000        0.0075961     0.050     1     4402757
M13      1     0      6771.0050000        0.0000003        0.0121062     0.050     1     4402757
M13      1     0      6835.9400000        0.0000000       -0.0043380     0.050     1     4402757
M13      1     0      6901.0200000       -0.0000001        0.0186401     0.050     1     4402757
M13      1     0      6966.0150000        0.0000002        0.0189768     0.050     1     4402757
M13      1     0      7030.9350000        0.0000004       -0.0043112     0.050     1     4402757
M13      1     0      7096.0200000        0.0000003        0.0164055     0.050     1     4402757
M13      2     0      1000.0100000       -0.0000004       -0.0016871     0.050     1     4402831
M13      2     0      1015.9950000       -0.0000002        0.0115383     0.050     1     4402831
M13      2     0      1032.0000000        0.0000002        0.0106605     0.050     1     4402831
M13      2     0      1048.0150000        0.0000002        0.0050460     0.050     1     4402831
M13      2     0      1064.0000000       -0.0000002        0.0149133     0.050     1     4402831
M13      2     0      1079.9950000        0.0000002        0.0296793     0.050     1     4402831
M13      2     0      1096.0000000        0.0000001        0.0183385     0.050     1     4402831
M13      2     0      1111.9950000       -0.0000002       -0.0010051     0.050     1     4402831
M13      2     0      1128.0000000        0.0000003        0.0208269     0.050     1     4402831
M13      2     0      1144.0100000       -0.0000001        0.0240383     0.050     1     4402831
M13      2     0      1160.0100000        0.0000005        0.0117274     0.050     1     4402831
M13      2     0      1176.0050000        0.0000002        0.0318047     0.050     1     4402831
M13      2     0      1192.0050000        0.0000001        0.0063741     0.050     1     4402831
M13      2     0      1208.0050000        0.0000004        0.0314865     0.050     1     4402831
