%DAWG J2 VIIRS RSR Release V1 Band I4 
%Based upon VCST August 7, 2018 RSR Analysis                                                                                                                                           
%Using J2 VIIRS FP-15,-16 RSR Measurements at Raytheon El Segundo, May - October 2017            
%Detector numbering given in "Sensor" order (1st detector in along track direction is assigned #1)
%Bnd    det    SS         wvl_nm             RSR              SNR     SNR_Thresh  QF      UAID                              
 I4      1     0      4109.9600000        0.0014795       22.6344559     0.040     0     4402774
 I4      1     0      4166.0450000        0.0005205        6.2694445     0.040     0     4402774
 I4      1     0      4221.8950000        0.0001229        0.5233130     0.040     0     4402775
 I4      1     0      4278.0100000        0.0000241        0.0497200     0.040     0     4402775
 I4      1     0      4334.0200000        0.0000184        0.0805746     0.040     0     4402775
 I4      1     0      4389.9900000        0.0000025        0.0251687     0.040     1     4402775
 I4      1     0      4446.0050000        0.0000003        0.0084423     0.040     1     4402775
 I4      1     0      4501.9750000        0.0000006       -0.0054572     0.040     1     4402775
 I4      1     0      4558.0200000        0.0000010        0.0156721     0.040     1     4402775
 I4      1     0      4613.9900000       -0.0000004        0.0114283     0.040     1     4402775
 I4      1     0      4669.9800000        0.0000002       -0.0005601     0.040     1     4402775
 I4      1     0      4725.9400000        0.0000005       -0.0129761     0.040     1     4402775
 I4      1     0      4781.9850000        0.0000006        0.0005633     0.040     1     4402775
 I4      1     0      4837.9900000       -0.0000014        0.0001282     0.040     1     4402775
 I4      1     0      4893.9500000        0.0000016        0.0124205     0.040     1     4402775
 I4      1     0      4949.9400000       -0.0000001       -0.0005932     0.040     1     4402775
 I4      1     0      5006.0100000        0.0000002        0.0040646     0.040     1     4402775
 I4      1     0      5061.9900000        0.0000011        0.0067807     0.040     1     4402775
 I4      1     0      5117.9000000       -0.0000002        0.0016923     0.040     1     4402775
 I4      1     0      5174.0700000        0.0000010       -0.0085309     0.040     1     4402775
 I4      1     0      5230.0000000        0.0000007        0.0013623     0.040     1     4402775
 I4      1     0      5286.0000000       -0.0000001       -0.0005402     0.040     1     4402775
 I4      1     0      5342.0200000        0.0000008        0.0065053     0.040     1     4402775
 I4      1     0      5398.0400000        0.0000013        0.0067211     0.040     1     4402775
 I4      1     0      5454.0900000        0.0000006        0.0011207     0.040     1     4402775
 I4      1     0      5510.0150000        0.0000003       -0.0027110     0.040     1     4402775
 I4      1     0      5565.9600000        0.0000002        0.0033262     0.040     1     4402776
 I4      1     0      5621.9750000        0.0000001       -0.0091570     0.040     1     4402776
 I4      1     0      5678.0250000        0.0000010        0.0030351     0.040     1     4402776
 I4      1     0      5734.0300000        0.0000001        0.0023771     0.040     1     4402776
 I4      1     0      5790.0400000       -0.0000005        0.0066554     0.040     1     4402776
 I4      1     0      5845.9850000        0.0000006       -0.0030448     0.040     1     4402776
 I4      1     0      5901.9750000        0.0000001        0.0090226     0.040     1     4402776
 I4      1     0      5958.0200000       -0.0000017        0.0000874     0.040     1     4402776
 I4      1     0      6014.0150000       -0.0000012        0.0001907     0.040     1     4402776
 I4      1     0      6070.0050000        0.0000002       -0.0019339     0.040     1     4402776
 I4      1     0      6126.0450000       -0.0000008        0.0069398     0.040     1     4402776
 I4      1     0      6182.0700000       -0.0000001        0.0057666     0.040     1     4402776
 I4      1     0      6237.9700000       -0.0000006       -0.0044597     0.040     1     4402776
 I4      1     0      6293.9900000        0.0000000        0.0170990     0.040     1     4402776
 I4      1     0      6350.0250000        0.0000001       -0.0097090     0.040     1     4402776
 I4      1     0      6405.9800000       -0.0000001       -0.0038048     0.040     1     4402776
 I4      1     0      6462.0350000        0.0000007        0.0052393     0.040     1     4402776
 I4      1     0      6517.9500000       -0.0000010       -0.0109969     0.040     1     4402776
 I4      1     0      6574.0350000        0.0000002       -0.0048500     0.040     1     4402776
 I4      1     0      6629.9950000       -0.0000003        0.0018907     0.040     1     4402776
 I4      1     0      6685.9400000       -0.0000004        0.0013411     0.040     1     4402776
 I4      1     0      6741.9800000        0.0000007        0.0142830     0.040     1     4402776
 I4      1     0      6798.0400000        0.0000008       -0.0117015     0.040     1     4402776
 I4      1     0      6854.0350000        0.0000001        0.0060999     0.040     1     4402776
 I4      1     0      6909.9800000        0.0000013        0.0158680     0.040     1     4402776
 I4      1     0      6966.0150000        0.0000004        0.0025912     0.040     1     4402776
 I4      1     0      7022.0400000       -0.0000017       -0.0079246     0.040     1     4402776
 I4      1     0      7078.0050000        0.0000004       -0.0040483     0.040     1     4402776
