%DAWG J2 VIIRS Band Average "Fused" RSR Release V2 Band     M10
%Based upon VCST 11-13-2018 (V6) analysis (GLAMR) and DAWG V1 release (SpMA)
%Using J2 VIIRS FP-15,-16 RSR Measurements at Raytheon El Segundo, May - October 2017 and GLAMR RSR measurements August 2016
%Band   wvl_nm         RSR
  M10  1721.83800   0.0008834
  M10  1722.12700   0.0009048
  M10  1722.60000   0.0008601
  M10  1722.62500   0.0008295
  M10  1723.06800   0.0008416
  M10  1724.02100   0.0007882
  M10  1724.32100   0.0007740
  M10  1724.59200   0.0007550
  M10  1725.15200   0.0006974
  M10  1726.17000   0.0006366
  M10  1726.46800   0.0006236
  M10  1726.66800   0.0006480
  M10  1727.09100   0.0006176
  M10  1728.16500   0.0005597
  M10  1728.61300   0.0005697
  M10  1728.87600   0.0005403
  M10  1729.14900   0.0005312
  M10  1730.32800   0.0004910
  M10  1730.91700   0.0005005
  M10  1730.92100   0.0005063
  M10  1731.28100   0.0004626
  M10  1732.33800   0.0004531
  M10  1733.06600   0.0004280
  M10  1733.26300   0.0004345
  M10  1733.38900   0.0004276
  M10  1735.29000   0.0004300
  M10  1737.56600   0.0003480
  M10  1739.46900   0.0003309
  M10  1744.15200   0.0002341
  M10  1744.54600   0.0002563
  M10  1746.71500   0.0002146
  M10  1748.91000   0.0001911
  M10  1751.27000   0.0001620
  M10  1753.34500   0.0001373
  M10  1755.56900   0.0001548
  M10  1758.28100   0.0001472
  M10  1770.00000   8.6224820E-05
  M10  1782.01500   5.5315570E-05
  M10  1794.00000   3.2734080E-05
  M10  1805.99000   1.8342370E-05
  M10  1817.98500   1.0610360E-05
  M10  1829.98500   6.3900430E-06
  M10  1841.98500   3.4678050E-06
  M10  1853.98500   2.2700640E-06
  M10  1866.01000   1.4046810E-06
  M10  1878.01000   1.1726580E-06
  M10  1890.00500   1.0974070E-06
  M10  1901.98500   1.0000000E-10
  M10  1914.01500   1.0000000E-10
  M10  1926.00000   1.0000000E-10
  M10  1938.01000   1.0000000E-10
  M10  1950.00000   1.0000000E-10
  M10  1962.00000   1.0000000E-10
  M10  1973.98500   1.0000000E-10
  M10  1985.98000   1.0000000E-10
  M10  1998.01500   1.0000000E-10
  M10  2009.99500   1.0000000E-10
  M10  2022.00000   1.0000000E-10
  M10  2034.00000   1.0000000E-10
  M10  2045.99000   1.0000000E-10
  M10  2058.00500   1.0000000E-10
  M10  2069.99500   1.0000000E-10
  M10  2082.01000   1.0000000E-10
  M10  2093.99000   1.0000000E-10
  M10  2105.99500   4.8912980E-07
  M10  2117.99000   9.2809260E-07
  M10  2129.98000   7.5877840E-07
  M10  2142.00000   1.2290960E-06
  M10  2154.01000   1.6429750E-06
  M10  2166.01500   1.0660520E-06
  M10  2178.00500   1.0000000E-10
  M10  2190.02000   1.0000000E-10
  M10  2202.00000   1.0000000E-10
  M10  2214.00500   1.0000000E-10
  M10  2225.98500   1.0000000E-10
  M10  2237.99500   1.0000000E-10
  M10  2248.00500   1.0000000E-10
  M10  2260.01500   1.0000000E-10
  M10  2272.00500   1.0000000E-10
  M10  2284.01000   1.0000000E-10
  M10  2296.00000   1.0000000E-10
  M10  2308.00000   1.0000000E-10
  M10  2319.98500   1.0000000E-10
  M10  2331.99000   1.0000000E-10
  M10  2343.99500   1.0000000E-10
  M10  2356.00000   1.0000000E-10
  M10  2368.00500   1.0000000E-10
  M10  2380.00000   1.0000000E-10
  M10  2391.99500   1.0000000E-10
  M10  2403.99500   1.0000000E-10
  M10  2416.00000   1.0000000E-10
  M10  2418.00500   1.0000000E-10
  M10  2434.00000   1.0000000E-10
  M10  2449.99500   1.0000000E-10
  M10  2465.99500   1.0000000E-10
  M10  2482.01000   1.0000000E-10
  M10  2498.01000   1.0000000E-10
  M10  2514.01500   1.0000000E-10
  M10  2530.00000   1.0000000E-10
  M10  2546.00000   1.0000000E-10
  M10  2562.00500   1.0000000E-10
  M10  2577.99500   1.0000000E-10
  M10  2593.99500   1.0000000E-10
  M10  2610.00000   1.0000000E-10
  M10  2626.00500   1.0000000E-10
  M10  2642.00000   1.0000000E-10
  M10  2658.00000   1.0000000E-10
  M10  2673.99000   1.0000000E-10
  M10  2690.00500   1.0000000E-10
  M10  2706.00000   1.0000000E-10
  M10  2721.99500   1.0000000E-10
  M10  2738.00500   1.0000000E-10
  M10  2754.00000   1.0000000E-10
  M10  2769.99500   1.0000000E-10
  M10  2786.01000   1.0000000E-10
  M10  2801.99000   1.0000000E-10
  M10  2817.99500   1.0000000E-10
  M10  2833.99500   1.0000000E-10
  M10  2850.00000   1.0000000E-10
  M10  2866.00500   1.0000000E-10
  M10  2882.00000   1.0000000E-10
  M10  2898.00000   1.0000000E-10
  M10  2914.00000   1.0000000E-10
  M10  2930.01000   1.0000000E-10
  M10  2935.99000   1.0000000E-10
  M10  3000.99000   1.0000000E-10
  M10  3066.06500   1.0000000E-10
  M10  3130.97000   1.0000000E-10
  M10  3196.05500   1.0000000E-10
  M10  3261.01500   1.0000000E-10
  M10  3325.99000   1.0000000E-10
  M10  3391.02500   1.0000000E-10
  M10  3456.04000   1.0000000E-10
  M10  3520.99500   1.1789290E-06
  M10  3585.92500   2.0380410E-06
  M10  3651.00000   3.0037590E-06
  M10  3716.02500   3.4176380E-06
  M10  3780.91500   1.8938110E-06
  M10  3845.94000   3.2984910E-06
  M10  3910.95000   2.7341100E-06
  M10  3976.07500   5.6187230E-06
  M10  4040.99500   1.0000000E-10
  M10  4106.03000   1.0000000E-10
  M10  4171.07000   1.0000000E-10
  M10  4235.97500   1.0000000E-10
  M10  4300.97500   1.0000000E-10
  M10  4365.95000   1.0000000E-10
  M10  4431.02000   1.0000000E-10
  M10  4495.98000   1.0000000E-10
  M10  4560.98500   1.0000000E-10
  M10  4626.03000   1.0000000E-10
  M10  4691.03500   1.0000000E-10
  M10  4756.04000   1.0000000E-10
  M10  4821.07000   1.0000000E-10
  M10  4886.01500   1.0000000E-10
  M10  4950.97500   1.0000000E-10
  M10  5015.96500   1.0000000E-10
  M10  5081.05000   1.0000000E-10
  M10  5146.06000   1.0000000E-10
  M10  5210.96000   1.0000000E-10
  M10  5275.95000   1.0000000E-10
  M10  5340.99500   1.0000000E-10
  M10  5405.96500   1.0000000E-10
  M10  5471.05500   1.0000000E-10
  M10  5536.05000   1.0000000E-10
  M10  5600.93000   1.0000000E-10
  M10  5666.00500   1.0000000E-10
  M10  5730.97500   1.0000000E-10
  M10  5795.95500   1.0000000E-10
  M10  5861.07000   1.0000000E-10
  M10  5925.92500   1.0000000E-10
  M10  5990.99500   1.0000000E-10
  M10  6055.95500   1.0000000E-10
  M10  6120.99500   1.0000000E-10
  M10  6186.00000   1.0000000E-10
  M10  6250.99000   1.0000000E-10
  M10  6316.02500   1.0000000E-10
  M10  6381.00500   1.0000000E-10
  M10  6445.97500   1.0000000E-10
  M10  6511.09000   1.0000000E-10
  M10  6575.96500   1.0000000E-10
  M10  6640.95000   1.0000000E-10
  M10  6705.97500   1.0000000E-10
  M10  6771.00500   1.0000000E-10
  M10  6835.94000   1.0000000E-10
  M10  6901.02000   1.0000000E-10
  M10  6966.01500   1.0000000E-10
  M10  7030.93500   1.0000000E-10
  M10  7096.02000   1.0000000E-10
