#DAWG J2 VIIRS Band Average RSR Release V1 Band M11                                                                                                                                  
#Based upon VCST August 7, 2018 RSR Analysis                                                                                                                                           
#Using J2 VIIRS FP-15,-16 RSR Measurements at Raytheon El Segundo, May - October 2017                                                                                                
#Band     wvl_um        RSR                                                                                                                                                          
 M11     5056.005   0.1000000E-09
 M11     5121.015   0.1000000E-09
 M11     5186.015   0.1000000E-09
 M11     5251.100   0.1000000E-09
 M11     5315.955   0.1000000E-09
 M11     5380.955   0.1000000E-09
 M11     5445.985   0.1000000E-09
 M11     5511.050   0.1000000E-09
 M11     5575.945   0.1000000E-09
 M11     5640.990   0.1000000E-09
 M11     5706.015   0.1000000E-09
 M11     5771.010   0.1000000E-09
 M11     5836.015   0.1000000E-09
 M11     5900.940   0.1000000E-09
 M11     5966.085   0.1000000E-09
 M11     6031.020   0.1000000E-09
 M11     6096.070   0.1000000E-09
 M11     6161.010   0.1000000E-09
 M11     6226.045   0.1000000E-09
 M11     6290.940   0.1000000E-09
 M11     6356.015   0.1000000E-09
 M11     6421.020   0.1000000E-09
 M11     6486.020   0.1000000E-09
 M11     6551.030   0.1000000E-09
 M11     6616.000   0.1000000E-09
 M11     6680.960   0.1000000E-09
 M11     6745.925   0.1000000E-09
 M11     6811.030   0.1000000E-09
 M11     6876.060   0.1000000E-09
 M11     6940.930   0.1000000E-09
 M11     7006.000   0.1000000E-09
 M11     7070.995   0.1000000E-09
 M11     7136.035   0.1000000E-09
 M11     7200.935   0.1000000E-09
