%DAWG J2 VIIRS Band Average "Fused" RSR Release V2 Band      M9
%Based upon VCST 11-13-2018 (V6) analysis (GLAMR) and DAWG V1 release (SpMA)
%Using J2 VIIRS FP-15,-16 RSR Measurements at Raytheon El Segundo, May - October 2017 and GLAMR RSR measurements August 2016
%Band   wvl_nm         RSR
   M9  1938.01000   1.0000000E-10
   M9  1952.00500   1.0000000E-10
   M9  1965.99500   1.0000000E-10
   M9  1980.01500   1.0000000E-10
   M9  1994.01500   1.0000000E-10
   M9  2008.00000   1.0000000E-10
   M9  2022.00000   1.0000000E-10
   M9  2035.99000   1.0000000E-10
   M9  2050.00000   1.0000000E-10
   M9  2064.01000   1.0000000E-10
   M9  2078.01000   4.2562740E-07
   M9  2092.00500   4.3814590E-07
   M9  2105.99500   5.6333030E-07
   M9  2120.00500   9.1384700E-07
   M9  2134.00000   1.0390320E-06
   M9  2148.00500   1.1642160E-06
   M9  2162.00000   1.2017720E-06
   M9  2176.00000   1.1391790E-06
   M9  2190.02000   1.0765870E-06
   M9  2203.99500   8.6377320E-07
   M9  2217.98500   8.1369940E-07
   M9  2232.00500   6.7599640E-07
   M9  2246.00500   6.8851490E-07
   M9  2256.00000   1.0000000E-10
   M9  2269.99000   1.0000000E-10
   M9  2284.01000   1.0000000E-10
   M9  2298.00500   1.0000000E-10
   M9  2311.98500   1.0000000E-10
   M9  2326.00000   1.0000000E-10
   M9  2339.99000   1.0000000E-10
   M9  2354.00000   1.0000000E-10
   M9  2368.00500   1.0000000E-10
   M9  2381.99500   1.0000000E-10
   M9  2396.00500   1.0000000E-10
   M9  2410.00000   1.0000000E-10
   M9  2418.00500   1.0000000E-10
   M9  2434.00000   1.0000000E-10
   M9  2449.99500   1.0000000E-10
   M9  2465.99500   1.0000000E-10
   M9  2482.01000   1.0000000E-10
   M9  2498.01000   1.0000000E-10
   M9  2514.01500   1.0000000E-10
   M9  2530.00000   1.0000000E-10
   M9  2546.00000   1.0000000E-10
   M9  2562.00500   1.0000000E-10
   M9  2577.99500   1.0000000E-10
   M9  2593.99500   1.0000000E-10
   M9  2610.00000   1.0000000E-10
   M9  2626.00500   1.0000000E-10
   M9  2642.00000   1.0000000E-10
   M9  2658.00000   1.0000000E-10
   M9  2673.99000   1.0000000E-10
   M9  2690.00500   1.0000000E-10
   M9  2706.00000   1.0000000E-10
   M9  2721.99500   1.0000000E-10
   M9  2738.00500   1.0000000E-10
   M9  2754.00000   1.0000000E-10
   M9  2769.99500   1.0000000E-10
   M9  2786.01000   1.0000000E-10
   M9  2801.99000   1.0000000E-10
   M9  2817.99500   1.0000000E-10
   M9  2833.99500   1.0000000E-10
   M9  2850.00000   1.0000000E-10
   M9  2866.00500   1.0000000E-10
   M9  2882.00000   1.0000000E-10
   M9  2898.00000   1.0000000E-10
   M9  2914.00000   1.0000000E-10
   M9  2930.01000   1.0000000E-10
   M9  2974.00000   1.0000000E-10
   M9  3039.01000   1.0000000E-10
   M9  3103.94000   1.0000000E-10
   M9  3169.03000   1.0000000E-10
   M9  3233.99500   1.0000000E-10
   M9  3298.99000   1.0000000E-10
   M9  3364.00500   1.0000000E-10
   M9  3428.99500   1.0000000E-10
   M9  3494.01000   2.2658400E-06
   M9  3558.93000   8.9819900E-06
   M9  3623.97500   1.6561910E-05
   M9  3688.94000   1.4540180E-05
   M9  3754.02500   2.6263710E-05
   M9  3819.00500   2.4529910E-05
   M9  3884.08500   1.5397700E-05
   M9  3948.97000   8.9757310E-06
   M9  4013.99500   4.1561270E-06
   M9  4079.09000   1.0000000E-10
   M9  4143.99500   1.0000000E-10
   M9  4209.06500   1.0000000E-10
   M9  4273.96500   1.0000000E-10
   M9  4339.00000   1.0000000E-10
   M9  4403.95000   1.0000000E-10
   M9  4469.03500   1.0000000E-10
   M9  4533.93500   1.0000000E-10
   M9  4598.94500   1.0000000E-10
   M9  4663.98000   1.0000000E-10
   M9  4729.06000   1.0000000E-10
   M9  4793.97000   1.0000000E-10
   M9  4858.99500   1.0000000E-10
   M9  4923.97500   1.0000000E-10
   M9  4988.97500   1.0000000E-10
   M9  5053.97000   1.0000000E-10
   M9  5118.94000   1.0000000E-10
   M9  5184.05500   1.0000000E-10
   M9  5248.97000   1.0000000E-10
   M9  5313.98000   1.0000000E-10
   M9  5378.92000   1.0000000E-10
   M9  5443.99000   1.0000000E-10
   M9  5508.97500   1.0000000E-10
   M9  5574.03000   1.0000000E-10
   M9  5639.01500   1.0000000E-10
   M9  5704.05000   1.0000000E-10
   M9  5769.00500   1.0000000E-10
   M9  5833.96500   1.0000000E-10
   M9  5898.98500   1.0000000E-10
   M9  5963.99500   1.0000000E-10
   M9  6029.00000   1.0000000E-10
   M9  6094.02000   1.0000000E-10
   M9  6159.03500   1.0000000E-10
   M9  6224.05000   1.0000000E-10
   M9  6289.00500   1.0000000E-10
   M9  6353.95500   1.0000000E-10
   M9  6418.95000   1.0000000E-10
   M9  6484.01000   1.0000000E-10
   M9  6549.08500   1.0000000E-10
   M9  6614.05000   1.0000000E-10
   M9  6678.96500   1.0000000E-10
   M9  6744.00500   1.0000000E-10
   M9  6809.00000   1.0000000E-10
   M9  6874.08500   1.0000000E-10
   M9  6939.03000   1.0000000E-10
   M9  7003.99500   1.0000000E-10
   M9  7068.94500   1.0000000E-10
   M9  7133.97000   1.0000000E-10
   M9  7199.04000   1.0000000E-10
