%DAWG J2 VIIRS Band Average "Fused" RSR Release V2 Band      M6
%Based upon VCST 11-13-2018 (V6) analysis (GLAMR) and DAWG V1 release (SpMA)
%Using J2 VIIRS FP-15,-16 RSR Measurements at Raytheon El Segundo, May - October 2017 and GLAMR RSR measurements August 2016
%Band   wvl_nm         RSR
   M6   754.81400   0.4794253
   M6   755.21200   0.3388154
   M6   755.26100   0.3236026
   M6   755.30200   0.3110036
   M6   755.70000   0.2063775
   M6   755.74000   0.1974529
   M6   755.76400   0.1927658
   M6   756.20200   0.1228703
   M6   756.20500   0.1166251
   M6   756.26400   0.1105122
   M6   756.63800   0.0708453
   M6   756.70700   0.0654714
   M6   756.71000   0.0684499
   M6   757.18000   0.0381114
   M6   757.63400   0.0236661
   M6   757.65200   0.0227539
   M6   758.17000   0.0133807
   M6   758.35900   0.0109731
   M6   758.60900   0.0087747
   M6   758.62500   0.0084017
   M6   759.10600   0.0053120
   M6   759.59900   0.0034920
   M6   759.60100   0.0033891
   M6   759.73000   0.0031078
   M6   760.09100   0.0022326
   M6   760.65500   0.0014377
   M6   761.10600   0.0009885
   M6   761.61200   0.0006904
   M6   761.94600   0.0005618
   M6   762.37000   0.0004070
   M6   762.89000   0.0002866
   M6   763.40000   0.0002175
   M6   763.58100   0.0001913
   M6   763.88800   0.0001579
   M6   764.37600   0.0001287
   M6   764.53200   0.0001146
   M6   764.83900   8.7400000E-05
   M6   766.49400   4.4500000E-05
   M6   767.52500   3.0600000E-05
   M6   768.87600   1.9100000E-05
   M6   769.83200   1.4500000E-05
   M6   770.84300   1.1800000E-05
   M6   771.88100   9.7000000E-06
   M6   772.75100   7.1000000E-06
   M6   773.82200   6.7000000E-06
   M6   774.78600   4.8000000E-06
   M6   775.73900   4.1000000E-06
   M6   776.74700   3.8000000E-06
   M6   777.75500   3.0000000E-06
   M6   780.73100   2.5000000E-06
   M6   781.79700   2.6000000E-06
   M6   784.99800   9.8228720E-07
   M6   790.49500   1.0000000E-10
   M6   796.00250   1.0000000E-10
   M6   801.50100   1.0000000E-10
   M6   806.99450   1.0000000E-10
   M6   812.49750   1.0000000E-10
   M6   818.00200   1.0000000E-10
   M6   823.50600   1.0000000E-10
   M6   828.99950   1.0000000E-10
