Wavelength [um],Blue,Green,Red,NIR,Pan
0.548,1.34E-04,0.404776852,0.000208781,3.41E-05,0.405709101
0.549,1.55E-04,0.408374338,1.97E-04,3.32E-05,0.409020011
0.55,1.72E-04,0.411222414,2.04E-04,3.81E-05,0.411495134
0.551,1.65E-04,0.413477145,2.12E-04,4.63E-05,0.413451401
0.552,1.65E-04,0.413953364,2.34E-04,6.83E-05,0.41369132
0.553,1.64E-04,0.414581539,2.57E-04,4.43373E-05,0.413955296
0.554,1.47E-04,0.414586511,2.72E-04,3.94166E-05,0.41353908
0.555,0.000124683,0.414504399,3.01E-04,5.00592E-05,0.413193277
0.556,7.00342E-05,0.4148097,3.08E-04,5.42629E-05,0.413461941
0.557,4.32049E-05,0.415100953,3.33E-04,3.94092E-05,0.413722342
0.558,3.6758E-05,0.417311068,3.47E-04,4.47264E-05,0.415619928
0.559,2.59307E-05,0.419714675,3.45E-04,8.52E-05,0.41775881
0.56,2.08543E-05,0.422630857,3.48E-04,9.93E-05,0.420668926
0.561,2.1976E-05,0.424361913,3.35E-04,1.15E-04,0.422859022
0.562,2.34024E-05,0.426449845,3.15E-04,1.11E-04,0.425412251
0.563,2.82795E-05,0.428717103,3.06E-04,1.02E-04,0.42779444
0.564,2.76602E-05,0.43028339,2.79E-04,1.19E-04,0.429430926
0.565,1.57339E-05,0.431019914,2.62E-04,1.25E-04,0.430640784
0.566,2.41467E-05,0.43058467,2.44E-04,8.26E-05,0.430916259
0.567,2.03816E-05,0.430046678,2.18E-04,4.92E-05,0.430958396
0.568,3.68505E-05,0.429296092,2.12E-04,3.11E-05,0.430217127
0.569,4.77837E-05,0.429202018,2.07E-04,1.58E-05,0.429749189
0.57,6.44454E-05,0.428607635,0.000181986,1.87E-05,0.428612872
0.571,0.000105562,0.427747704,0.000181771,2.92E-06,0.427538613
0.572,0.000142468,0.426520356,0.000176994,1.79E-05,0.426328275
0.573,0.000196479,0.425868562,0.000196193,2.13E-05,0.425458274
0.574,0.000245608,0.425327699,0.000216328,7.51E-06,0.424636291
0.575,0.000258797,0.425177971,0.000208314,6.95E-06,0.424133548
0.576,0.000289557,0.424826537,0.00023115,1.37E-05,0.423816202
0.577,0.000321962,0.42353235,0.000237638,4.61E-05,0.422991875
0.578,0.000326585,0.422122829,0.000269696,7.13E-05,0.422220691
0.579,0.000316769,0.42072202,0.00029879,5.32E-05,0.421417517
0.58,0.000279414,0.419728116,0.000327506,5.69E-05,0.420845111
0.581,0.000265475,0.417949459,0.000393498,4.12E-05,0.419566113
0.582,0.00023977,0.416497768,0.000465094,4.20E-05,0.418972791
0.583,0.000216461,0.41419171,0.000571832,1.01E-04,0.418896015
0.584,0.000205378,0.406520605,0.000732959,7.44E-05,0.418077459
0.585,0.000177337,0.388435983,0.000946893,1.38E-05,0.417488472
0.586,0.000175897,0.354776373,0.001270016,7.73E-06,0.417396728
0.587,0.000172492,0.308667577,0.001721716,8.52E-06,0.416927527
0.588,0.00015595,0.263175345,0.002361271,-8.60E-06,0.415953839
0.589,0.00016082,0.223494607,0.003338786,-3.34E-06,0.415770172
0.59,0.000155277,0.176711952,0.004782524,1.29E-05,0.415425403
0.591,0.000172532,0.117314221,0.007060225,1.58E-06,0.415203474
0.592,0.000183451,0.064296437,0.010703841,-2.99E-06,0.41479851
0.593,0.000166134,0.031736345,0.01696739,7.92E-06,0.415117861
0.594,0.000154933,0.015733348,0.027840785,4.29E-06,0.416212264
0.595,0.000130134,0.008329736,0.046233088,1.56E-05,0.416626481
0.596,0.000154886,0.004770407,0.074901673,1.90E-05,0.418210465
0.597,0.000177846,0.002952934,0.113223872,-7.39E-06,0.419447135
0.598,0.00011849,0.00191386,0.156922888,1.05E-05,0.421261542
0.599,7.71E-05,0.001309305,0.200580097,3.48E-06,0.422433837
0.6,2.67E-05,0.00093506,0.243692259,1.11405E-06,0.424273028
0.601,1.15E-05,0.000666961,0.289112197,2.15098E-05,0.425651111
0.602,1.37E-05,0.000497379,0.336740439,1.81465E-05,0.426410836
0.603,-1.73E-06,0.000395533,0.379331415,1.96633E-05,0.427600487
0.604,1.56E-05,0.000314697,0.408094166,-3.13233E-07,0.428226689
0.605,7.39E-06,0.000270573,0.422973005,1.07174E-05,0.428661737
0.606,9.72E-06,0.00024224,0.428744016,2.36907E-05,0.429188122
0.607,1.37E-05,0.000211068,0.430127698,4.124E-06,0.429973825
0.608,1.88E-06,0.000208878,0.428485833,1.73E-05,0.429225931
0.609,1.53E-06,0.000198339,0.427518405,1.45E-05,0.42890774
0.61,-8.99E-06,0.00020594,0.42639761,-8.93E-06,0.427736253
0.611,-1.12E-05,0.000197677,0.426637239,1.34E-06,0.427602301
0.612,-2.55E-06,0.000218353,0.425939259,2.09E-05,0.426823625
0.613,8.15E-06,0.000232009,0.423792751,2.59E-05,0.425366108
0.614,1.32E-05,0.000212083,0.421649303,-9.72E-06,0.424170722
0.615,1.82E-05,0.000223606,0.419714364,4.36E-06,0.422866852
0.616,3.22E-06,2.13E-04,0.417893725,1.94E-05,0.420993881
0.617,5.41E-06,2.21E-04,0.416843471,-3.8172E-06,0.419523768
0.618,-2.05E-07,2.10E-04,0.41668036,6.98989E-07,0.418672322
0.619,-9.87E-06,1.86E-04,0.415386517,4.89785E-06,0.41703897
0.62,1.12E-05,1.59E-04,0.414281485,3.452E-06,0.415730563
0.621,1.31E-06,1.46E-04,0.413053906,1.31359E-05,0.414192406
0.622,1.53E-05,1.09E-04,0.412955084,1.12731E-05,0.413574258
0.623,5.33E-06,1.07E-04,0.411776514,7.84388E-06,0.411835663
0.624,-8.09E-07,8.55E-05,0.410787334,1.39935E-05,0.410511448
0.625,2.41E-06,8.34E-05,0.408950785,6.52324E-06,0.408748446
0.626,-8.81E-07,6.25E-05,0.407206946,1.32881E-05,0.407222634
0.627,1.02E-05,5.18E-05,0.405445294,-2.71177E-06,0.40566407
0.628,3.95E-06,3.84E-05,0.402941211,-9.04672E-06,0.402899434
