Wavelength (nm), Coastal-Blue response, Blue response, Green_i response, Green_ii response, Yellow response, Red response, Red-edge response, NIR response
912,0,0.000455685,0,0,0,0.000272777,0,0
913,0,0.000455685,0,0,0,0.000272777,0,0
914,0,0.000455685,0,0,0,0.000272777,0,0
915,0,0.000455685,0,0,0,0.000272777,0,0
916,0,0.000455685,0,0,0,0.000272777,0,0
917,0,0.000455685,0,0,0,0.000272777,0,0
918,0,0.000455685,0,0,0,0.000272777,0,0
919,0,0.000455685,0,0,0,0.000272777,0,0
920,0,0.000455685,0,0,0,0.000272777,0,0
921,0,0.000455685,0,0,0,0.000272777,0,0
922,0,0.000455685,0,0,0,0.000272777,0,0
923,0,0.000455685,0,0,0,0.000272777,0,0
924,0,0.000455685,0,0,0,0.000272777,0,0
925,0,0.000227842,0,0,0,0.000272777,0,0
926,0,0.000227842,0,0,0,0.000272777,0,0
927,0,0.000227842,0,0,0,0.000272777,0,0
928,0,0.000227842,0,0,0,0.000272777,0,0
929,0,0.000227842,0,0,0,0.000272777,0,0
930,0,0.000227842,0,0,0,0.000272777,0,0
931,0,0.000227842,0,0,0,0.000272777,0,0
932,0,0.000227842,0,0,0,0.000272777,0,0
933,0,0.000227842,0,0,0,0.000272777,0,0
934,0,0.000227842,0,0,0,0.000272777,0,0
935,0,0.000227842,0,0,0,0.000272777,0,0
936,0,0.000227842,0,0,0,0.000272777,0,0
937,0,0.000227842,0,0,0,0.000272777,0,0
938,0,0.000227842,0,0,0,0.000272777,0,0
