Wavelength [um],Blue,Green,Red,Red Edge,NIR
0.46700001,0.804440798,0.001605617,0.000111721,0.000142546,0.000135913
0.46750001,0.804180752,0.001497511,0.000130343,7.59E-05,0.000174775
0.46800001,0.804043673,0.003602692,0.000145311,1.38E-05,0.000221399
0.46850001,0.804234161,0.019923049,0.000148616,5.40E-06,0.000311594
0.46900001,0.804642332,0.034311157,0.000147154,5.27E-06,0.000426096
0.46950001,0.805831312,0.022197845,0.000127196,4.45E-06,0.00065315
0.47000001,0.807340887,0.007525853,0.000102975,3.62E-06,0.000828972
0.47050001,0.809400266,0.003301506,6.94E-05,3.51E-06,0.000578427
0.47100001,0.811624566,0.001019581,3.72E-05,3.67E-06,0.000290195
0.47150001,0.813621886,0.000528751,2.24E-05,4.79E-06,0.000179682
0.47200001,0.815533354,0.000332644,1.14E-05,5.38E-06,0.000105129
0.47250001,0.8168119,0.000236803,7.29E-06,2.05E-06,7.84E-05
0.47300001,0.817974978,0.000162253,4.58E-06,1.37E-05,6.08E-05
0.47350001,0.818896245,0.000127531,3.49E-06,0.00012386,5.35E-05
0.47400001,0.819671591,0.000100756,2.73E-06,0.000220762,4.85E-05
0.47450001,0.819696893,8.50E-05,2.43E-06,0.000137309,4.81E-05
0.47500001,0.819726437,7.14E-05,2.17E-06,3.78E-05,4.87E-05
0.47550001,0.820505257,6.05E-05,1.85E-06,1.63E-05,5.20E-05
0.47600001,0.821513549,5.03E-05,1.50E-06,8.13E-06,5.60E-05
0.47650001,0.823172471,4.21E-05,1.10E-06,5.78E-06,6.13E-05
0.47700001,0.825068629,3.46E-05,7.30E-07,4.47E-06,6.68E-05
0.47750001,0.827717489,2.94E-05,5.34E-07,4.06E-06,7.26E-05
0.47800001,0.83046375,2.48E-05,3.80E-07,3.91E-06,7.84E-05
0.47850001,0.832873195,2.20E-05,3.12E-07,4.45E-06,8.47E-05
0.47900001,0.83525566,1.97E-05,2.64E-07,5.08E-06,9.14E-05
0.47950001,0.837457269,1.88E-05,2.53E-07,5.73E-06,0.000100546
0.48000001,0.839675986,1.82E-05,2.54E-07,1.12E-05,0.000110826
0.48050001,0.841440911,1.87E-05,2.86E-07,4.71E-05,0.000125372
0.48100001,0.843144975,1.97E-05,3.37E-07,8.45E-05,0.00014121
0.48150001,0.844200878,2.20E-05,4.78E-07,9.96E-05,0.000160471
0.48200001,0.845330387,2.49E-05,6.31E-07,0.000103729,0.00017895
0.48250001,0.847294833,3.01E-05,7.88E-07,6.03E-05,0.000188319
0.48300001,0.849456332,3.64E-05,1.79E-06,1.50E-05,0.000193203
