Wavelength [um],Blue,Green,Red,NIR,Pan
0.537,0.0006,0.9625,0.0009,0.0003,0.9525
0.538,0.0007,0.9634,0.0011,0.0003,0.9538
0.539,0.0007,0.9652,0.0014,0.0003,0.953
0.54,0.0007,0.9679,0.0013,0.0003,0.9532
0.541,0.0006,0.9691,0.0011,0.0003,0.9526
0.542,0.0005,0.9714,0.001,0.0003,0.9531
0.543,0.0004,0.9734,0.0009,0.0002,0.9532
0.544,0.0004,0.9744,0.0008,0.0002,0.9536
0.545,0.0003,0.9735,0.0007,0.0002,0.9543
0.546,0.0002,0.972,0.0007,0.0002,0.9559
0.547,0.0002,0.972,0.0007,0.0002,0.9582
0.548,0.0002,0.9745,0.0007,0.0001,0.9608
0.549,0.0002,0.9778,0.0006,0.0002,0.9639
0.55,0.0002,0.9807,0.0005,0.0001,0.967
0.551,0.0003,0.982,0.0004,0.0002,0.9688
0.552,0.0003,0.983,0.0004,0.0002,0.9694
0.553,0.0003,0.9836,0.0004,0.0003,0.9695
0.554,0.0003,0.9844,0.0004,0.0003,0.9691
0.555,0.0003,0.984,0.0004,0.0004,0.9681
0.556,0.0003,0.9836,0.0005,0.0003,0.9675
0.557,0.0003,0.9836,0.0005,0.0003,0.967
0.558,0.0003,0.9834,0.0005,0.0004,0.9666
0.559,0.0002,0.984,0.0006,0.0004,0.9674
0.56,0.0002,0.9847,0.0006,0.0003,0.968
0.561,0.0002,0.9874,0.0006,0.0003,0.9707
0.562,0.0002,0.9913,0.0006,0.0003,0.9745
0.563,0.0002,0.9933,0.0006,0.0003,0.9762
0.564,0.0002,0.995,0.0006,0.0004,0.9785
0.565,0.0002,0.9973,0.0006,0.0003,0.9813
0.566,0.0002,0.9992,0.0006,0.0003,0.9836
0.567,0.0002,1.0,0.0006,0.0003,0.9851
0.568,0.0002,0.9994,0.0006,0.0003,0.9859
0.569,0.0002,0.9986,0.0005,0.0002,0.9863
0.57,0.0002,0.998,0.0004,0.0002,0.9865
0.571,0.0002,0.9977,0.0004,0.0001,0.9859
0.572,0.0002,0.9974,0.0004,0.0001,0.9856
0.573,0.0002,0.9964,0.0004,0.0001,0.985
0.574,0.0003,0.9942,0.0004,0.0001,0.984
0.575,0.0004,0.9927,0.0004,0.0002,0.9835
0.576,0.0005,0.9929,0.0004,0.0002,0.9839
0.577,0.0006,0.9936,0.0004,0.0002,0.9842
0.578,0.0006,0.9948,0.0004,0.0002,0.9848
0.579,0.0007,0.9955,0.0005,0.0001,0.9851
0.58,0.0008,0.9954,0.0005,0.0002,0.9852
0.581,0.0008,0.9945,0.0006,0.0002,0.9847
0.582,0.0008,0.9942,0.0006,0.0001,0.9847
0.583,0.0007,0.9933,0.0007,0.0001,0.9849
0.584,0.0007,0.9914,0.0008,0.0001,0.9844
0.585,0.0006,0.9888,0.001,0.0001,0.9843
0.586,0.0006,0.9833,0.0012,0.0002,0.9843
0.587,0.0006,0.9688,0.0015,0.0002,0.9846
0.588,0.0005,0.9338,0.002,0.0001,0.9847
